Date delivery,Price
26/06/2023,97.49
27/06/2023,101.95
28/06/2023,112.52
29/06/2023,118.08
30/06/2023,110.03
01/07/2023,66.41
02/07/2023,-53.87
03/07/2023,53.22
04/07/2023,85.12
05/07/2023,69.8
06/07/2023,107.2
07/07/2023,102.97
08/07/2023,82.19
09/07/2023,89.33
10/07/2023,113.99
11/07/2023,105.96
12/07/2023,87.51
13/07/2023,97.71
14/07/2023,96.97
15/07/2023,33.32
16/07/2023,14.53
17/07/2023,81.92
18/07/2023,106.46
19/07/2023,97.32
20/07/2023,96.51
21/07/2023,104.4
22/07/2023,76.73
23/07/2023,30.92
24/07/2023,90.53
25/07/2023,104.15
26/07/2023,95.24
27/07/2023,93.91
28/07/2023,95.92
29/07/2023,76.68
30/07/2023,31.75
31/07/2023,70.97
01/08/2023,79.43
02/08/2023,68.29
03/08/2023,45.41
04/08/2023,98.59
05/08/2023,90.31
06/08/2023,57.91
07/08/2023,19.44
08/08/2023,12.06
09/08/2023,88.35
10/08/2023,102.17
11/08/2023,100.44
12/08/2023,80.14
13/08/2023,65.21
14/08/2023,103.37
15/08/2023,93.56
16/08/2023,110.81
17/08/2023,111.36
18/08/2023,108.99
19/08/2023,84.79
20/08/2023,90.12
21/08/2023,121.11
22/08/2023,123.15
23/08/2023,146.55
24/08/2023,146.95
25/08/2023,116.26
26/08/2023,96.52
27/08/2023,101.9
28/08/2023,118.67
29/08/2023,122.9
30/08/2023,114.93
31/08/2023,104.3
01/09/2023,108.57
02/09/2023,95.13
03/09/2023,82.65
04/09/2023,108.45
05/09/2023,103.54
06/09/2023,105.62
07/09/2023,100.99
08/09/2023,108.23
09/09/2023,91.51
10/09/2023,85.3
11/09/2023,152.87
12/09/2023,131.45
13/09/2023,109.94
14/09/2023,120.47
15/09/2023,108.19
16/09/2023,95.2
17/09/2023,87.62
18/09/2023,95.3
19/09/2023,37.52
20/09/2023,49.46
21/09/2023,103.06
22/09/2023,103.98
23/09/2023,99.52
24/09/2023,68.82
25/09/2023,105.8
26/09/2023,128.77
27/09/2023,124.48
28/09/2023,112.52
29/09/2023,105.27
30/09/2023,91.5
01/10/2023,74.04
02/10/2023,118.15
03/10/2023,22.96
04/10/2023,69.49
05/10/2023,101.61
06/10/2023,71.6
07/10/2023,44.95
08/10/2023,90.64
09/10/2023,116.01
10/10/2023,112.39
11/10/2023,59.8
12/10/2023,122.71
13/10/2023,68.41
14/10/2023,26.53
15/10/2023,39.62
16/10/2023,133.7
17/10/2023,130.12
18/10/2023,98.44
19/10/2023,93.41
20/10/2023,87.24
21/10/2023,54.32
22/10/2023,63.95
23/10/2023,125.02
24/10/2023,117.99
25/10/2023,124.31
26/10/2023,121.35
27/10/2023,118.35
28/10/2023,83.37
29/10/2023,23.99
30/10/2023,92.89
31/10/2023,104.95
01/11/2023,62.89
02/11/2023,59.77
03/11/2023,56.57
04/11/2023,24.82
05/11/2023,29.91
06/11/2023,72.04
07/11/2023,99.75
08/11/2023,89.72
09/11/2023,97.22
10/11/2023,94.05
11/11/2023,96.79
12/11/2023,97.99
13/11/2023,94.89
14/11/2023,65.51
15/11/2023,102.41
