Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2024-09-14,2024-09-14,9,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,87.7740833333333,-33.944083333333296,0.0,53.83,70.52139828641322,70.52139828641322,-16.691398286413218,53.83,70.52139828641322,-16.691398286413218
2024-09-15,2024-09-15,9,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,87.7740833333333,-32.70974093611918,7.0656576027858895,62.13,58.811240599063446,58.811240599063446,3.318759400936557,62.13,58.811240599063446,3.318759400936557
2024-09-16,2024-09-16,9,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,87.7740833333333,9.695916666666704,0.0,97.47,79.68758629312481,79.68758629312481,17.78241370687519,97.47,79.68758629312481,17.78241370687519
2024-09-17,2024-09-17,9,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,87.7740833333333,1.1159166666667062,0.0,88.89,107.82046428863413,107.82046428863413,-18.930464288634127,88.89,107.82046428863413,-18.930464288634127
2024-09-18,2024-09-18,9,2,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,87.7740833333333,-36.9465582300425,27.152474896709204,77.98,95.0464823250285,95.0464823250285,-17.066482325028502,77.98,95.0464823250285,-17.066482325028502
2024-09-19,2024-09-19,9,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,87.7740833333333,-37.98989183741279,28.085808504079502,77.87,78.9063445426109,78.9063445426109,-1.036344542610891,77.87,78.9063445426109,-1.036344542610891
2024-09-20,2024-09-20,9,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,87.7740833333333,-14.40408333333329,0.0,73.37,66.36711810996948,66.36711810996948,7.0028818900305225,73.37,66.36711810996948,7.0028818900305225
2024-09-21,2024-09-21,9,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,87.7740833333333,-17.7540833333333,0.0,70.02,60.349812354212546,60.349812354212546,9.67018764578745,70.02,60.349812354212546,9.67018764578745
2024-09-22,2024-09-22,9,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,87.7740833333333,-18.659740936119178,7.0656576027858895,76.18,67.61989549263922,67.61989549263922,8.56010450736079,76.18,67.61989549263922,8.56010450736079
2024-09-23,2024-09-23,9,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,87.7740833333333,33.585916666666705,0.0,121.36,85.09038830663994,85.09038830663994,36.26961169336006,121.36,85.09038830663994,36.26961169336006
